cat_id,cat_name,note_id,note_name,desc_id,desc_name
1,floral,11,exotic,111,orange_blossom
1,floral,11,exotic,112,carnation
1,floral,11,exotic,113,honeysuckle
1,floral,11,exotic,114,jasmine
1,floral,12,garden,121,mint
1,floral,12,garden,122,lavender
1,floral,12,garden,123,sage
1,floral,12,garden,124,rose
1,floral,12,garden,125,rhododendron
1,floral,13,woodland,131,green_leaves
1,floral,13,woodland,132,sandalwood
1,floral,13,woodland,133,fir_tree
1,floral,13,woodland,134,spruce
1,floral,13,woodland,135,cedar
1,floral,14,field,141,barn
1,floral,14,field,142,tobacco_leaf
1,floral,14,field,143,grass
1,floral,14,field,144,hay
1,floral,14,field,145,heather
2,fruity,21,artificial,211,nail_polish_remover
2,fruity,21,artificial,212,bubblegum
2,fruity,21,artificial,213,fruit_pastry
2,fruity,21,artificial,214,taffy_candy
2,fruity,21,artificial,215,red_licorice
2,fruity,22,citrus,221,lemon
2,fruity,22,citrus,222,orange
2,fruity,22,citrus,223,tangerine
2,fruity,22,citrus,224,grapefruit
2,fruity,22,citrus,225,lime
2,fruity,23,fresh,231,apple
2,fruity,23,fresh,232,pear
2,fruity,23,fresh,233,peeled_banana
2,fruity,23,fresh,234,pineapple
2,fruity,23,fresh,235,melon
2,fruity,23,fresh,236,peach
2,fruity,24,berries,241,raspberry
2,fruity,24,berries,242,strawberry
2,fruity,24,berries,243,cherry
2,fruity,24,berries,244,blackberry
2,fruity,24,berries,245,blueberry
2,fruity,24,berries,246,gooseberry
2,fruity,24,berries,247,pomegranate
2,fruity,25,dried,251,prunes
2,fruity,25,dried,252,raisins
2,fruity,25,dried,253,figs
2,fruity,25,dried,254,apricot
2,fruity,25,dried,255,plum
2,fruity,25,dried,256,mango
3,gourmand,31,cream,311,creme_brulee
3,gourmand,31,cream,312,custard
3,gourmand,31,cream,313,ice_cream
3,gourmand,31,cream,314,whipped_cream
3,gourmand,31,cream,315,vanilla_bean
3,gourmand,32,chocolates,321,cocoa_powder
3,gourmand,32,chocolates,322,dark_chocolate
3,gourmand,32,chocolates,323,milk_chocolate
3,gourmand,32,chocolates,324,white_chocolate
3,gourmand,32,chocolates,325,mocha
3,gourmand,32,chocolates,326,mousse
3,gourmand,32,chocolates,327,fudge
3,gourmand,33,fruits,331,orange_confit
3,gourmand,33,fruits,332,lemon_meringue
3,gourmand,33,fruits,333,bananas_flambe
3,gourmand,33,fruits,334,tarts
3,gourmand,33,fruits,335,jam
3,gourmand,34,sugars,341,cane
3,gourmand,34,sugars,342,demerara
3,gourmand,34,sugars,343,caramel
3,gourmand,34,sugars,344,muscovado
3,gourmand,34,sugars,345,molasses
3,gourmand,35,spices,351,cloves
3,gourmand,35,spices,352,pepper
3,gourmand,35,spices,353,nutmeg
3,gourmand,35,spices,354,rye
3,gourmand,35,spices,355,cinnamon
3,gourmand,35,spices,356,allspice
3,gourmand,35,spices,357,ginger
4,grainy,41,dough,411,flour
4,grainy,41,dough,412,grist
4,grainy,41,dough,413,biscuit
4,grainy,41,dough,414,scone
4,grainy,41,dough,415,pancake
4,grainy,41,dough,416,croissant
4,grainy,42,sweet_grain,421,cinnamon_roll
4,grainy,42,sweet_grain,422,cookies
4,grainy,42,sweet_grain,423,waffle_cone
4,grainy,42,sweet_grain,424,shortcake
4,grainy,42,sweet_grain,425,graham_cracker
4,grainy,43,baked,431,pie
4,grainy,43,baked,432,crumble
4,grainy,43,baked,433,waffle
4,grainy,43,baked,434,pound_cake
4,grainy,43,baked,435,fruit_cake
4,grainy,43,baked,436,muffin
4,grainy,43,baked,437,butter
4,grainy,44,bread,441,multigrain
4,grainy,44,bread,442,wheat
4,grainy,44,bread,443,rye
4,grainy,44,bread,444,sourdough
4,grainy,44,bread,445,toast
4,grainy,45,nuts,451,hazelnut
4,grainy,45,nuts,452,pecan
4,grainy,45,nuts,453,almond
4,grainy,45,nuts,454,peanut
4,grainy,45,nuts,455,pistachio
4,grainy,45,nuts,456,walnut
5,sulphur,51,vegetative,511,cooked_corn
5,sulphur,51,vegetative,512,cabbage
5,sulphur,51,vegetative,513,peas
5,sulphur,51,vegetative,514,cooked_carrots
5,sulphur,51,vegetative,515,popcorn
5,sulphur,52,meaty,521,pot_roast
5,sulphur,52,meaty,522,burnt_steak
5,sulphur,52,meaty,523,fishy
5,sulphur,52,meaty,524,burnt_milk
5,sulphur,52,meaty,525,rotten_eggs
5,sulphur,53,rubber,531,rubber_tires
5,sulphur,53,rubber,532,new_shoes
5,sulphur,53,rubber,533,burnt_rubber
5,sulphur,53,rubber,534,pencil_eraser
5,sulphur,54,burnt,541,fireworks
5,sulphur,54,burnt,542,struck_matches
5,sulphur,54,burnt,543,gunpowder
5,sulphur,54,burnt,544,charcoal
6,woody,61,musty,611,bung_cloth
6,woody,61,musty,612,pencils
6,woody,61,musty,613,metallic
6,woody,61,musty,614,cellar
6,woody,61,musty,615,cardboard
6,woody,61,musty,616,cork
6,woody,62,toasty,621,burnt
6,woody,62,toasty,622,aniseed
6,woody,62,toasty,623,coffee_grounds
6,woody,62,toasty,624,rice_pudding
6,woody,62,toasty,625,fennel
6,woody,62,toasty,626,toast
6,woody,63,oily,631,waxy
6,woody,63,oily,632,coconut
6,woody,63,oily,633,suntan_oil
6,woody,63,oily,634,butter
6,woody,63,oily,635,almond_oil
6,woody,63,oily,636,corn_oil
6,woody,64,lumber,641,sawdust
6,woody,64,lumber,642,sandalwood
6,woody,64,lumber,643,oaky
6,woody,64,lumber,644,resinous
6,woody,64,lumber,645,pine
7,peaty,71,sea,711,smoked_salmon
7,peaty,71,sea,712,oysters
7,peaty,71,sea,713,seaweed
7,peaty,71,sea,714,shellfish
7,peaty,72,earth,721,moss
7,peaty,72,earth,722,bog
7,peaty,72,earth,723,turf
7,peaty,72,earth,724,forest_floor
7,peaty,73,smoky,731,peat_reek
7,peaty,73,smoky,732,cigar
7,peaty,73,smoky,733,incense
7,peaty,73,smoky,734,campfire
7,peaty,74,medicinal,741,hospital
7,peaty,74,medicinal,742,iodine
7,peaty,74,medicinal,743,tar
7,peaty,74,medicinal,744,bandage
